comment_text,cleaned_text
"That bison knocking down the young one like ""Sorry lil homie you gotta take one for the team.""",bison knocking young one like sorry lil homie got take one team
"Therapy is expensive. So, I listen to Sir David Attenborough.",therapy expensive listen sir david attenborough
I never get tired of hearing Sir David Attenborough's voice and his crystal clear narration.,never get tired hearing sir david attenboroughs voice crystal clear narration
Who knew a tiny mantis could channel its inner kung fu master? Nature’s bluff game is strong with this one,knew tiny mantis could channel inner kung master nature bluff game strong one
Those snakes after the iguanas is like hell on earth,snake iguana like hell earth
"The baby iguana gave me this lesson again, never lose hope even if you are surrounded by dangers, life is sacred, breathe it to the last second",baby iguana gave lesson never lose hope even surrounded danger life sacred breathe last second
The flying fish is the living definition of “between a rock and a hard place” talk about brutal survival,flying fish living definition rock hard place talk brutal survival
That iguana escape might be the greatest thing I’ve ever seen,iguana escape might greatest thing ive ever seen
All told through the legendary narration of Sir David Attenborough. A masterpiece not to be missed!,told legendary narration sir david attenborough masterpiece missed
i can hear every one cheering for the little  ig   when he got away lol,hear every one cheering little got away lol
11:00 this is what playing silksong is like,playing silksong like
OMG all those snakes after me would make me crazy!,omg snake would make crazy
"Life is a constant battle, but sometimes bluffing like a praying mantis is all it takes to survive another day",life constant battle sometimes bluffing like praying mantis take survive another day
This 2 hours of nature scenes narrated by David Attenborough feels more meaningful than most movies released today,hour nature scene narrated david attenborough feel meaningful movie released today
I never get tired of watching contents from this channel,never get tired watching content channel
"When life gives you heat sensors and speed, every second counts in the wild. Hats off to those hatchlings making miracle escapes!",life give heat sensor speed every second count wild hat hatchling making miracle escape
""" So, you fought my brother. Let's see how you like my Praying Mantis style!""",fought brother let see like praying mantis style
41:53 we may wonder why not out for hunt/gather food just before the dark .. or earlier to avoid such extreme heat.,may wonder huntgather food dark earlier avoid extreme heat
"Amazing photography! I wonder how this is done! How is this put together? Photography, editing, music, narration— What a marvel!",amazing photography wonder done put together photography editing music narration marvel
"Wonderful to watch (I gave it an upvote), but it really should have had volume levelling.",wonderful watch gave upvote really volume levelling
I had to change the volume of my headphones up or down one step every second or third clip. You would think something as obvious as the volume would have been noticed and corrected before it was released....,change volume headphone one step every second third clip would think something obvious volume would noticed corrected released
I still love everything about the natural world and the animal kingdom and Sir David Attenborough is the true voice of the whole planet and I really love the way he speaks for nature and all of it’s wonderful wildlife and amazing animals worldwide Thank you so much David Attenborough and keep up with all your inspirational work you do for the whole planet and all living things!,still love everything natural world animal kingdom sir david attenborough true voice whole planet really love way speaks nature wonderful wildlife amazing animal worldwide thank much david attenborough keep inspirational work whole planet living thing
"Where is this taking place, with that many snakes? 3:37",taking place many snake
"In the wild, every day is a lesson in resilience: survive the first hours, learn the dance of life, and maybe, just maybe, become the next legend",wild every day lesson resilience survive first hour learn dance life maybe maybe become next legend
I'm a great fan of Sir David Attenborough,great fan sir david attenborough
So much impressive camera work and editing again. Gotto love BBC earth  and most epic voice over to perfect it.,much impressive camera work editing gotto love bbc earth epic voice perfect
Nice video! I suggest breaking it into the segments with chapter labels for each individual animal.,nice video suggest breaking segment chapter label individual animal
Happy New Year everyone,happy new year everyone
"21:53 a big, big thanksgiving day, a cheetah version.",big big thanksgiving day cheetah version
I’ve always been fascinated by how wolves are able to hunt in their packs like they know when to strike or when to start running; when to attack.. it’s just amazing to me.,ive always fascinated wolf able hunt pack like know strike start running attack amazing
8:34 gliding against gravity.,gliding gravity
Wildlife is absolutely amazing.,wildlife absolutely amazing
"Good Chanel,  good narration.",good chanel good narration
"1:03:52 ""made it"" without losing any foot!",made without losing foot
This is just killing and feeding video,killing feeding video
Nice to see wolves again. Haven't seen them for a while in major nature docs.,nice see wolf havent seen major nature doc
If you had to be one of these animals… who would you choose?,one animal would choose
What an amazing video to see off the year.,amazing video see year
Polar bears average only 1 successful hunt every 20 times.,polar bear average successful hunt every time
1:31:19 a cordless mouse (mole).,cordless mouse mole
wow,wow
Awesome moments!,awesome moment
Thank you for sharing this video~,thank sharing video
MMMMM RACER SNAKE MEAT !!!!!!!!!!,mmmmm racer snake meat
Life is terrible... no doubt about this...,life terrible doubt
Fantastic!!!,fantastic
O silêncio inicial torna o ataque ainda mais assustador.,silncio inicial torna ataque ainda mais assustador
Wonderful video! Happy new year,wonderful video happy new year
Огромное спасибо за труд,
O.G. ASMR.,asmr
Sir David Attenborough is my priest.,sir david attenborough priest
In survival games it is all about luck,survival game luck
"I know this is nature, but those apes killing a baby monkey was really appalling, especially when seeing the bones and flesh 1:45:00 😨",know nature ape killing baby monkey really appalling especially seeing bone flesh
"3:43 born to sprint. In semi-erect gait & leap. In other places, maybe more lenient start of life ..",born sprint semierect gait leap place maybe lenient start life
Sweeeyt,sweeeyt
Dalatedifridheytomedaleted,dalatedifridheytomedaleted
Daletedsavedaleted,daletedsavedaleted
"Would this feel the same without narration, or is the voice essential?",would feel without narration voice essential
This is fake ....,fake
This is totally AI generated!,totally generated
army of snakes; get the iguana,army snake get iguana
iguana; am fast am boing,iguana fast boing
"it's so heart-breaking to see the plastic bottle in 1:53:00 , please keep throwing wastes to the dustbin only, ladies and gentlemen",heartbreaking see plastic bottle please keep throwing waste dustbin lady gentleman
"Calm yet powerful storytelling, truly captivating.",calm yet powerful storytelling truly captivating
"God loves you and cares for you so that this message reaches you. God is the one who created this large universe and controls it completely. The greatest loss a person loses in this life is that he lives without knowing God who created him and knowing the Messenger of Muhammad, the last of the messengers, and the Islamic religion, the last of the heavenly religions.  Great intelligence, before you believe in something or not, is to read it, study it, and understand it well, and after that you have the choice to believe in it or not to believe in it. I advise you to do this now, before you no longer have time to do so. Life is very short. It is just a test, just a passage to eternal life. Great advice to those who...  Understands",god love care message reach god one created large universe control completely greatest loss person loses life life without knowing god created knowing messenger muhammad last messenger islamic religion last heavenly religion great intelligence believe something read study understand well choice believe believe advise longer time life short test passage eternal life great advice understands
"Therapy is expensive. So, I listen to Sir David Attenborough.",therapy expensive listen sir david attenborough
